titulo,resumen,autor,fecha,url,sentiment_score,sentiment,medio,resumen_clean_adv,word_count,readability,sent_vader,sent_vader_cat,sent_bert,topic,prob_política,prob_economía,prob_deportes,prob_cultura,prob_tecnología,prob_salud,prob_educación,prob_medio ambiente,n_per,n_org,n_loc
Aeropuertos de Perú destinarán US$780 millones hasta 2030 para mejora de pistas,"Las terminales aéreas de Perú es una concesión cofinanciada que, a pesar de ser una empresa privada, tiene sus proyectos como inversión pública",Desconocido,2025-07-03,https://www.larepublica.co/globoeconomia/aeropuertos-de-peru-destinaran-us-780-millones-hasta-2030-para-mejora-de-pistas-4171518,0.0,neutral,larepublica.co,terminal aéreo perú concesión cofinanciado empresa privado proyecto inversión público,10,-23.274999999999977,0.0,neutral,4,economía,0.10300032049417496,0.6475498676300049,0.020484687760472298,0.01586325094103813,0.08488699793815613,0.016444701701402664,0.009917061775922775,0.10185307264328003,0,0,0
Presidente Trump hablará con su homólogo Putin mientras busca una tregua en Ucrania,Las llamadas se producen tras la decisión del gobierno de pausar la transferencia de munición de artillería y defensas aéreas a Ucrania,Desconocido,2025-07-03,https://www.larepublica.co/globoeconomia/presidente-trump-hablara-con-su-homologo-putin-mientras-busca-una-tregua-en-ucrania-4171511,0.0,neutral,larepublica.co,llamada producir decisión gobierno pausar transferencia munición artillería defensa aéreo ucrania,11,-11.98454545454544,0.0,neutral,1,política,0.832865834236145,0.010076059959828854,0.025295808911323547,0.012552524916827679,0.0749826580286026,0.011367584578692913,0.018116436898708344,0.014743135310709476,0,0,0
Compañías fintech representan 10% de consumidores nuevos al crédito en Colombia,TranUnion realizó un estudio y dijo que los usuarios de estas compañías financieras suelen ser más jóvenes y con un mayor riesgo,Desconocido,2025-07-03,https://www.larepublica.co/finanzas/consumidores-de-las-fintech-en-colombia-4171506,0.0,neutral,larepublica.co,tranunion estudio usuario compañía financiero soler joven riesgo,8,8.365000000000009,0.0,neutral,3,tecnología,0.039144065231084824,0.16894152760505676,0.02035396546125412,0.02608466148376465,0.6339108943939209,0.036583311855793,0.028207020834088326,0.04677458480000496,0,0,0
Mineral de hierro sube mientras China está frenando el exceso de capacidad industrial,Pekín quiere frenar la competencia de precios y el exceso de capacidad industrial indica que sus dirigentes buscan enfrentar las presiones deflacionistas,Desconocido,2025-07-03,https://www.larepublica.co/globoeconomia/mineral-de-hierro-sube-mientras-china-esta-frenando-el-exceso-de-capacidad-industrial-4171502,0.0,neutral,larepublica.co,pekín querer frenar competencia precio exceso capacidad industrial indicar dirigente buscar enfrentar presión deflacionista,14,-12.832142857142827,0.0,neutral,1,economía,0.2265109419822693,0.7602554559707642,0.0011418217327445745,0.0009270351147279143,0.0023768863175064325,0.0018179630860686302,0.0005799911450594664,0.006389934569597244,0,0,0
Andi dijo que Unidad de Pago por Capitación debió crecer entre 10% y 16% en 2025,"Para el gremio, esta situación está llevando a una crisis en entidades del sector, que se han visto obligadas a cerrar servicios o a limitar la atención",Desconocido,2025-07-03,https://www.larepublica.co/economia/andi-dijo-que-unidad-de-pago-por-capitacion-debio-crecer-entre-10-y-16-en-2025-4171496,-0.6249,negative,larepublica.co,gremio situación crisis entidad sector obligado cerrar servicio limitar atención,10,10.564999999999998,-0.6249,negative,1,economía,0.009578431025147438,0.9790142178535461,0.0009223496308550239,0.0016511935973539948,0.001636861590668559,0.0014880865346640348,0.0010954856406897306,0.0046133180148899555,0,0,0
Perú decidió cerrar temporalmente sus fronteras a la pitahaya proveniente de Ecuadorr,"El territorio compra pitahaya ecuatoriana desde el 2022 y, para el 2023, se convirtió en el cuarto mercado internacional, después de Estados Unidos",Desconocido,2025-07-03,https://www.larepublica.co/globoeconomia/peru-decidio-cerrar-temporalmente-sus-fronteras-a-la-pitahaya-proveniente-de-ecuador-4171488,0.0,neutral,larepublica.co,territorio compra pitahaber ecuatoriano              convertir cuarto mercado internacional unidos,9,-56.099999999999966,0.0,neutral,1,economía,0.09209051728248596,0.23700553178787231,0.13198114931583405,0.11107384413480759,0.06736835092306137,0.12714464962482452,0.06162098050117493,0.1717149317264557,0,0,0
Déficit fiscal acumulado hasta abril de 2025 fue el más alto desde la pandemia de covid-19,Aumento en el gasto público y leve caída de los ingresos fiscales frente a 2024 son las razones que explican el aumento en la brecha del erario,Desconocido,2025-07-03,https://www.larepublica.co/economia/deficit-fiscal-acumulado-hasta-abril-de-2025-fue-el-mas-alto-desde-la-pandemia-4171449,0.0,neutral,larepublica.co,aumento gasto público leve caída ingreso fiscal frente       razón explicar aumento brecha erario,13,30.947692307692336,0.0,neutral,1,economía,0.2031298130750656,0.6392267942428589,0.02006165124475956,0.020459434017539024,0.017585864290595055,0.03853229060769081,0.017802095040678978,0.04320204257965088,0,0,0
Crecimiento del empleo en EE.UU. se acelera por la contratación en educación pública,"Las nóminas aumentaron en 147.000 el mes pasado, impulsadas por un aumento en el empleo en los gobiernos estatales y locales",Desconocido,2025-07-03,https://www.larepublica.co/globoeconomia/crecimiento-del-empleo-en-ee-uu-se-acelera-por-la-contratacion-en-educacion-publica-4171430,0.0,neutral,larepublica.co,nómina aumentar          mes impulsado aumento empleo gobierno estatal local,9,-18.499999999999943,0.0,neutral,5,educación,0.0658886656165123,0.1853831708431244,0.0005335506866686046,0.08597494661808014,0.0006164113292470574,0.10616070032119751,0.5530896186828613,0.0023529119789600372,0,0,0
Gobierno confía en que el nuevo sistema pensional entre en vigencia en dos meses,"El presidente de Colpensiones, Jaime Dussán, desmintió que no existieran recursos para cubrir el Pilar Solidario y dijo que eso le corresponde al Departamento de Prosperidad Social",Desconocido,2025-07-03,https://www.larepublica.co/finanzas/reforma-pensional-2025-gobierno-confia-en-que-el-nuevo-sistema-pensional-entre-en-vigencia-en-dos-meses-4171373,-0.296,negative,larepublica.co,presidente colpensión jaime dussán desmentir existir recurso cubrir pilar solidario corresponder departamento prosperidad social,14,-37.00357142857143,0.0,neutral,1,economía,0.09106536954641342,0.39688894152641296,0.011990511789917946,0.04117400571703911,0.025325236842036247,0.3492741286754608,0.029207564890384674,0.05507425591349602,0,0,0
Cervecera Heineken va a invertir US$10 millones en dos años en su fábrica de Valencia,,Desconocido,2025-07-03,https://www.larepublica.co/globoeconomia/cervecera-heineken-va-a-invertir-us-10-millones-en-dos-anos-en-su-fabrica-de-valencia-4171423,0.0,neutral,larepublica.co,nar,1,121.22000000000003,0.0,neutral,3,economía,0.19110964238643646,0.442525178194046,0.03970712795853615,0.08338325470685959,0.10556197166442871,0.04820350930094719,0.04560702666640282,0.04390225186944008,0,0,0
¿Cómo los negocios pueden registrar una llave con el nuevo sistema de pagos Bre-B?,"Bancolombia explicó que, desde el 14 de julio de 2025, las personas o empresas podrán registrar o confirmar oficialmente sus llaves",Desconocido,2025-07-03,https://www.larepublica.co/finanzas/como-los-negocios-pueden-abrir-una-llave-con-bre-b-4171414,0.0,neutral,larepublica.co,bancolombio explicar     julio        persona empresa registrar confirmar oficialmente llave,9,-27.89999999999995,0.0,neutral,1,economía,0.12845249474048615,0.4013465940952301,0.010744788683950901,0.04390646517276764,0.26226094365119934,0.025169918313622475,0.07725173234939575,0.05086705461144447,0,0,0
"Por tercer mes, las ventas de vehículos ligeros en México disminuyó 5,9% durante junio","La comercialización “débil” de autos se ve reflejada por la caída de 12% de General Motors, que es la segunda marca con mayor venta en México",Desconocido,2025-07-03,https://www.larepublica.co/globoeconomia/por-tercer-mes-las-ventas-de-vehiculos-ligeros-en-mexico-disminuyo-5-9-durante-junio-4171372,0.0,neutral,larepublica.co,comercialización débil auto reflejado caída      general motors marca venta méxico,10,-23.274999999999977,0.0,neutral,1,economía,0.13294778764247894,0.40290647745132446,0.043527621775865555,0.08567673712968826,0.14444409310817719,0.056412216275930405,0.07168721407651901,0.06239790841937065,0,0,0
El dólar profundiza su caída y se negocia en promedio por debajo de $3.985,"El precio promedio de la tasa de cambio es el más bajo desde el pasado 11 de julio de 2024 cuando se marcó $3.979,91",Desconocido,2025-07-03,https://www.larepublica.co/finanzas/precio-del-dolar-y-del-petroleo-hoy-3-de-julio-de-2025-4171296,0.0,neutral,larepublica.co,precio promedio tasa cambio     julio       marcar          ,6,31.545000000000016,0.0,neutral,3,salud,0.06070811301469803,0.06579909473657608,0.03924335911870003,0.1404319554567337,0.13524936139583588,0.23963455855846405,0.14035756886005402,0.17857597768306732,0,0,0
"Ola de calor golpea a Europa con incendios, cierres escolares y evacuaciones masivas","En Francia, 84 de los 101 departamentos del país permanecieron bajo alerta naranja, el segundo nivel más alto de riesgo por calor",Desconocido,2025-07-03,https://www.larepublica.co/globoeconomia/ola-de-calor-golpea-a-europa-con-incendios-cierres-escolares-y-evacuaciones-masivas-4171360,0.0,neutral,larepublica.co,francia           departamento país permanecer alerta naranja nivel alto riesgo calor,10,2.105000000000018,0.0,neutral,1,medio ambiente,0.04937060922384262,0.1811053603887558,0.023202061653137207,0.016516009345650673,0.01149132288992405,0.3186258375644684,0.025444211438298225,0.3742446005344391,0,0,0
Distribuidores de combustibles líquidos necesitarán certificado para operar en departamentos,Este documento deberá ser expedido por el Ministerio de Justicia y enviado a la Dirección de Hidrocarburos del Ministerio de Minas y Energía,Desconocido,2025-07-03,https://www.larepublica.co/economia/distribuidores-de-combustibles-liquidos-necesitaran-certificado-para-operar-4171357,0.0,neutral,larepublica.co,documento deber expedir ministerio justicia enviar dirección hidrocarburo ministerio mina energía,11,-50.43909090909088,0.0,neutral,1,medio ambiente,0.10326340794563293,0.07518957555294037,0.031063925474882126,0.04066113010048866,0.23284265398979187,0.10539236664772034,0.11410649120807648,0.29748040437698364,0,0,0
